taxid	count	resolved_rank	kingdom	phylum	class	order	family	genus	species
3674	25	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Momordica	Momordica cochinchinensis
3677	21	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Trichosanthes	Trichosanthes kirilowii
3685	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Passifloraceae	Passiflora	Passiflora quadrangularis
3690	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus x canadensis
3691	14	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus nigra
3693	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus tremuloides
3694	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus trichocarpa
3696	13	species	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus deltoides
3702	26	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana
3704	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Armoracia	Armoracia rusticana
3707	23	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica juncea
3708	54	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica napus
3710	36	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica nigra
3711	24	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica rapa
3712	25	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica oleracea
3713	117	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica oleracea
3714	3	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica oleracea
3715	6	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica oleracea
3716	8	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica oleracea
3717	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica sp.
3719	71	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella	Capsella bursa-pastoris
3721	2	subspecies	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Crambe	Crambe hispanica
3724	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Matthiola	Matthiola incana
3726	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Raphanus	Raphanus sativus
3728	21	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Sinapis	Sinapis alba
3730	24	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Sisymbrium	Sisymbrium irio
3732	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Diplotaxis	Diplotaxis erucoides
3735	111	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Moringaceae	Moringa	Moringa oleifera
3741	22	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Sapotaceae	Manilkara	Manilkara zapota
3743	50	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Sapotaceae	Synsepalum	Synsepalum dulcificum
3747	22	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Fragaria	Fragaria x ananassa
3750	30	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus domestica
3751	19	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus sp.
3752	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus sylvestris
3755	27	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus dulcis
3756	1	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus dulcis
3758	12	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus domestica
3759	123	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus yedoensis
3760	37	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus persica
3765	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Rosa	Rosa x damascena
3767	41	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Pyrus	Pyrus pyrifolia
3770	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Byblidaceae	Byblis	Byblis liniflora
3772	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Roridulaceae	Roridula	Roridula gorgonias
3795	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Heuchera	Heuchera micrantha
3797	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Celastrales	Celastraceae	Parnassia	Parnassia fimbriata
3799	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Micranthes	Micranthes integrifolia
3802	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Saxifragales	Grossulariaceae	Ribes	Ribes americanum
3806	12	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Bauhinia	Bauhinia purpurea
3809	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Acacia	Acacia confusa
3811	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Adenanthera	Adenanthera pavonina
3813	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Albizia	Albizia julibrissin
3816	22	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Abrus	Abrus precatorius
3818	8	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Arachis	Arachis hypogaea
3821	9	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cajanus	Cajanus cajan
3823	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Canavalia	Canavalia ensiformis
3824	11	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Canavalia	Canavalia gladiata
3825	49	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Canavalia	Canavalia rosea
3827	32	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cicer	Cicer arietinum
3829	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria juncea
3830	17	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria pallida
3832	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cyamopsis	Cyamopsis tetragonoloba
3834	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cytisophyllum	Cytisophyllum sessilifolium
3835	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cytisus	Cytisus scoparius
3837	22	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Macropsychanthus	Macropsychanthus grandiflorus
3842	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Erythrina	Erythrina caffra
3843	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Erythrina	Erythrina corallodendron
3844	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Erythrina	Erythrina latissima
3845	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Erythrina	Erythrina variegata
3847	43	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	Glycine max
3848	17	species	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	Glycine soja
